2026-07-31 18:30:39,261 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
2026-07-31 18:30:39,327 | INFO | aiforge.graph.workflow | Compiled LangGraph Autonomous Software Engineering Company Workflow Graph successfully.
2026-07-31 18:30:42,137 | INFO | aiforge.plugins.manager | PluginManager: Discovered and loaded installed plugins into active registry.
2026-07-31 18:30:42,829 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:30:42,908 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:30:42,972 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:30:43,010 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:30:43,048 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:30:43,078 | INFO | aiforge.workspace | WorkspaceStateManager: Active project set to 'proj_ecommerce'
2026-07-31 18:30:43,127 | WARNING | aiforge.project_manager | Logged backlog bug: 'CORS wildcard config' (Severity: High)
2026-07-31 18:30:43,127 | INFO | aiforge.project_manager | Recorded SRE ADR decision: 'Auth Mechanism' -> JWT Stateless Tokens (Accepted)
2026-07-31 18:30:43,276 | INFO | aiforge.communication.events | EventDispatcher: [TASK_ASSIGNED] Published by 'Planner Agent'
2026-07-31 18:30:43,276 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502843275_f67b' from 'Planner Agent' to 'Architect Agent'
2026-07-31 18:30:43,277 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Architect Agent'
2026-07-31 18:30:43,277 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502843275_4e8e' from 'Architect Agent' to 'Frontend Agent'
2026-07-31 18:30:43,277 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Backend Agent'
2026-07-31 18:30:43,278 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502843275_ea15' from 'Backend Agent' to 'Database Agent'
2026-07-31 18:30:43,278 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Testing Agent'
2026-07-31 18:30:43,278 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502843275_eec7' from 'Testing Agent' to 'Backend Agent'
2026-07-31 18:30:43,279 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Reviewer Agent'
